Name,Price,Location,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
30 foot tiny house trailer,"$2,500","Taylors, South Carolina, United States",Tiny House Trailer,Mobile,Square Feet,0,0,0,252 sq ft,29.66 ft,8.5 ft,333,0,63,https://tinyhouselistings.com/listings/30-foot-tiny-house-trailer
Gooseneck Tiny Home Trailer,"$8,000","Lebanon , Connecticut, United States",Tiny House Trailer,Mobile,New,0,0,0,248 sq ft,31 ft,8 ft,,0,40,https://tinyhouselistings.com/listings/gooseneck-tiny-home-trailer
Tiny Cabin,"$45,000","Vanceburg, Kentucky, United States",Cabin,Mobile,Used,1,1,1,336 sq ft,28 ft,12 ft,,0,118,https://tinyhouselistings.com/listings/tiny-cabin-cabin-stationary
28 Ft. of Tiny Home Living,"$40,000","Panama City Beach, Florida, United States",Tiny House,Mobile,New,2,2,1,330 sq ft,28 ft,8 ft,,0,154,https://tinyhouselistings.com/listings/28-ft-of-tiny-home-living-tiny_house
Beautiful 12x36 deluxe cabin!,"$50,000","Mulhall, Oklahoma, United States",Cabin,Mobile,Used,0,2,1,432 sq ft,36 ft,12 ft,,0,17,https://tinyhouselistings.com/listings/beautiful-12x36-deluxe-cabin
Tiny house that slides out,"$40,000","Gilroy, California, United States",Tiny House,Mobile,Used,1,1,1,307 sq ft,20 ft,16 ft,,2257,140,https://tinyhouselistings.com/listings/tiny-house-that-slides-out
Customizable Blue Tiny Home Shell For Sale,"$18,000","Saint Louis, Missouri, United States",Tiny House Shell,Mobile,Delivery Available,0,1,0,240 sq ft,8.5 ft,28 ft,,4047,180,https://tinyhouselistings.com/listings/beautiful-blue-tiny-home-shell-for-sale
"Live Near Greenville, SC - Walk to Restaurants, Shops, Farmers Markets, and more!",$450,"Travelers Rest, South Carolina, United States",Park Model,Mobile,New,1,1,1,399 sq ft,43 ft,11.5 ft,,5154,313,https://tinyhouselistings.com/listings/live-near-greenville-sc-walk-to-restaurants-shops-farmers-markets-and-more
"All New 320 Sq Ft. Amazing Home, built by Pro's","$48,885","Oxnard, California, United States",Tiny House,Mobile,Delivery Available,1,0,1,320 sq ft,40 ft,8 ft,,43378,147,https://tinyhouselistings.com/listings/all-new-320-sq-ft-amazing-home-built-by-pro-s
Big bear,"$4,500","Birmingham, Alabama, United States",Tiny House Shell,Mobile,Square Feet,2,0,1,330 sq ft,42 ft,8 ft,,0,229,https://tinyhouselistings.com/listings/big-bear
8x26 House on Trailer for Sale,"$45,000","nashville, Tennessee, United States",Tiny House,Mobile,Used,0,2,1,208 sq ft,8 ft,26 ft,,44416,225,https://tinyhouselistings.com/listings/new-8x26-house-on-trailer
Shipping Conatiner Home,"$40,900","Kerrville, Texas, United States",Tiny House,Mobile,Delivery Available,1,0,1,320 sq ft,40 ft,8 ft,,69720,244,https://tinyhouselistings.com/listings/shipping-conatiner-home
