Name,Price,Location,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
2003 Blue Bird Roof Raise Bus Conversion Platform,42000,"Bentonville , Arkansas, United States",Converted Bus,Mobile,Used,0,0,0,320,40.0,8.0,0,0,,https://tinyhouselistings.com/listings/2003-blue-bird-roof-raise-bus-conversion-platform
Off Grid Skoolie- Envision Bus!,49900,"La Grande, Oregon, United States",Converted Bus,Mobile,Delivery Available,2,0,1,250,38.0,8.0,2,0,82.0,https://tinyhouselistings.com/listings/off-grid-skoolie-envision-bus
Beautifully Renovated RV/Tiny Home!,25000,"Portland, Oregon, United States",RV,Mobile,Used,1,0,1,288,32.0,8.0,4,0,82.0,https://tinyhouselistings.com/listings/beautifully-renovated-rv-tiny-home
Tiny Home Shell and Trailer RTG,35000,"Asheville, North Carolina, United States",Tiny House Shell,Mobile,New,0,0,0,432,36.0,12.0,7,0,5.0,https://tinyhouselistings.com/listings/tiny-home-shell-and-trailer-rtg
Beautiful tiny house,40000,"Virginia Beach , Virginia, United States",Tiny House,Mobile,Dual Lofts,1,2,1,208,26.0,8.0,15,0,115.0,https://tinyhouselistings.com/listings/beautiful-tiny-house-tiny_house-purchase
Skoolie Home for Sale!,34999,"San Antonio, Texas, United States",Converted Bus,Mobile,New,1,1,1,210,,,15,0,13.0,https://tinyhouselistings.com/listings/skoolie-for-conversion
"Comfortable, Spacious RV. Home Sweet Home",12500,"Chilliwack, British Columbia, Canada",Camper,Mobile,Used,2,0,1,240,30.0,8.0,19,0,48.0,https://tinyhouselistings.com/listings/comfortable-spacious-rv-home-sweet-home
Economical DIY opportunity,9950,"Waupaca, Wisconsin, United States",Tiny House Trailer,Mobile,Used,1,0,1,364,40.0,8.5,26,0,10.0,https://tinyhouselistings.com/listings/economical-diy-opportunity
Tiny house. Dried in. You finish.,24000,"West Haven, Utah, United States",Tiny House Shell,Mobile,Dual Lofts,2,2,1,252,33.6,8.0,28,0,112.0,https://tinyhouselistings.com/listings/tiny-house-dried-in-you-finish
THOW Tiny House on Wheels for Sale 30 mins from Fort Worth,25000,"Azle, Texas, United States",Tiny House,Mobile,Used,0,1,1,250,7.0,20.0,29,0,106.0,https://tinyhouselistings.com/listings/thow-tiny-house-on-wheels-for-sale-30-mins-from-fort-worth
8X26 Tiny House,39000,"san diego, California, United States",Tiny House,Mobile,Delivery Available,1,2,1,262,8.5,26.0,29,0,132.0,https://tinyhouselistings.com/listings/custom-tiny-house-8-5-x-26-trailer-hardwoods-bathroom-kitchen
Custom Tumbleweed Cypress,49500,"Bloomington, Indiana, United States",Tiny House,Mobile,Used,0,2,1,288,24.0,8.0,32,0,106.0,https://tinyhouselistings.com/listings/custom-tumbleweed-cypress
