Name,Price,Location,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Number of views,Times dreamlisted,Length,Width,Link,Days on site
24’ custom tiny house,29900,"Birmingham, Alabama, United States",Tiny House,Mobile,Square Feet,0,1,1,204,37524.0,303,,,https://tinyhouselistings.com/listings/24-custom-tiny-house,
Cabaña Café: Tiny Home (Unfinished),22000,"Indio, California, United States",Tiny House,Mobile,Delivery Available,2,1,1,200,59363.0,46,20.0,10.0,https://tinyhouselistings.com/listings/cabana-cafe-tiny-home-unfinished,
Off Grid Beautiful New One-story Tiny House on Wheels (Built in 2017),17500,"Santa Maria, California, United States",Tiny House,Mobile,Square Feet,1,0,1,200,38155.0,68,,,https://tinyhouselistings.com/listings/santa-maria-california-12-off-grid-beautiful-new-one-story-tiny-house-on-wheels-built-in-2017,
Beautifully restored Spartan Imperial Mansion,22500,"Big Spring, Texas, United States",Tiny House,Mobile,Square Feet,1,0,1,252,29861.0,80,,,https://tinyhouselistings.com/listings/big-spring-tx-12-beautifully-restored-spartan-imperial-mansion,
Tiny House on wheels for sale in midtown Tulsa,22500,"Tulsa, Oklahoma, United States",Tiny House,Mobile,Square Feet,0,1,1,250,67415.0,151,,,https://tinyhouselistings.com/listings/tulsa-oklahoma-12-tiny-house-on-wheels,
Tiny House Shell on 30’ Trailer,22000,"Albuquerque, New Mexico, United States",Tiny House,Mobile,Square Feet,0,1,0,306,26265.0,83,,,https://tinyhouselistings.com/listings/albuquerque-nm-usa-12-tiny-house-shell-on-30-trailer,
Bird,20000,"Oceanside, California, United States",Converted Bus,Mobile,Delivery Available,1,0,1,250,55271.0,355,35.0,,https://tinyhouselistings.com/listings/albuquerque-nm-12-bird,
Custom Tiny House Sacramento,32000,"Sacramento, California, United States",Tiny House,Mobile,Square Feet,1,1,1,200,64258.0,388,22.0,8.0,https://tinyhouselistings.com/listings/sacramento-ca-usa-12-custom-tiny-house-sacramento,
Modern brand new tiny home for sale,49800,"Castro Valley, California, United States",Tiny House,Mobile,Square Feet,0,1,1,225,50496.0,331,,,https://tinyhouselistings.com/listings/san-leandro-12-modern-brand-new-tiny-home-for-sale,
32 Tiny Home For Sale,50000,"Herriman, Utah, United States",Tiny House,Mobile,Square Feet,1,0,1,400,40167.0,118,,,https://tinyhouselistings.com/listings/herriman-ut-12-32-tiny-home-for-sale,
24 ft SmartShell Tiny Home Shell For Sale,27900,"Nashville, Tennessee, United States",Tiny House Shell,Mobile,Square Feet,2,0,1,280,,164,,,https://tinyhouselistings.com/listings/nashville-tennessee-12-24-ft-high-performance-tiny-home-shell-for-sale,
